N(bin),P(bin),K(bin),Temp(bin),Humi(bin),ph(bin),rain(bin),tipo(bin)
01010001,00110101,00101010,011000,1010001,0101,011101010,00001
01011011,00110010,00101000,010101,1010100,0110,011100110,00001
01011101,00110101,00100110,011011,1010010,0111,100100011,00001
01011010,00101100,00100110,011000,1010100,0111,011110001,00001
01010001,00101101,00100011,011011,1010000,0110,011011011,00001
01001110,00101000,00100110,011010,1010100,1000,011111000,00001
00111100,00110011,00100100,010111,1010011,0110,100000001,00001
01011000,00101110,00101010,010111,1010011,0111,011000010,00001
01011101,00101111,00100101,010110,1010010,0111,100101000,00001
00111100,00110111,00101101,010101,1010011,0110,100100000,00001
01001110,00100011,00101100,011011,1010101,0111,010111000,00001
01000001,00100101,00101000,010111,1010100,0101,010111100,00001
01000111,00110110,00010000,010111,1000000,0110,001011000,00010
00111101,00101100,00010001,011010,1001000,0111,001100110,00010
01010000,00101011,00010000,011000,1001000,0111,001000011,00010
01001001,00111010,00010101,010100,0111010,0111,000111101,00010
00111101,00100110,00010100,010010,0111111,0110,001000001,00010
01000100,00101001,00010000,010110,0111010,0110,001100110,00010
01011101,00101001,00010001,011010,1000011,0110,001101001,00010
01011001,00111100,00010011,011001,1000011,0110,001001110,00010
01001100,00101100,00010001,010100,0111111,0110,001000001,00010
01000011,00111100,00011001,011001,1000011,0110,001101101,00010
01000110,00101100,00010011,010111,1001001,0110,001011110,00010
01011010,00110001,00010101,011001,1000100,0110,001001010,00010
00111110,00110100,00010000,010110,0111011,0111,001000000,00010
01011100,00101100,00010000,010011,1000010,0110,001011111,00010
01000010,00110110,00010101,011001,0111100,0110,001001000,00010
00111111,00111010,00010110,010010,0110111,0110,001000000,00010
01000110,00101111,00010001,011001,1000110,0111,001101000,00010
00111101,00101001,00010001,011001,1000001,0110,001001101,00010
01000010,00110101,00010011,010111,0111100,0110,001000001,00010
01001010,00110111,00010011,010010,0111111,0110,001010100,00010
01001101,00111001,00010101,011001,1001010,0111,001010000,00010
01100011,00110010,00001111,010010,1000111,0110,001011000,00010
01001010,00111000,00010110,010010,1000011,0111,001010001,00010
01010011,00101101,00010101,010011,0111011,0110,001010000,00010
01100100,00110000,00010000,011010,1000011,0110,001001011,00010
01001111,00110011,00010000,011001,1000100,0111,001100000,00010
01011110,00100111,00010010,011000,0111001,0110,001100111,00010
01001011,00110001,00001111,010110,1001000,0110,001100110,00010
01001110,00110000,00010110,010111,0111111,0110,001000110,00010
01010111,00110110,00010100,011010,0111111,0111,001101101,00010
01010111,00100011,00011001,010101,0111111,0110,001000010,00010
00111111,00101011,00010011,010011,0111000,0111,001011011,00010
01010100,00111001,00011001,010111,1000100,0110,001000000,00010
01000000,00100011,00010111,010111,0111110,0110,000111111,00010
00111100,00101110,00010110,011001,1000010,0111,001011000,00010
01100010,00101100,00010101,011010,1001010,0111,001101011,00010
01001011,00111000,00010010,010011,0111110,0110,000111101,00010
01010110,00110111,00010101,010110,0111100,0111,001101110,00010
01100010,00100011,00010010,011000,1001011,0110,001011100,00010
01001100,00111001,00010010,010011,1001011,0110,001011110,00010
01100011,00111000,00010001,011000,1001001,0110,001000111,00010
00111100,00101100,00010111,011001,1000110,0110,001001101,00010
01001010,00110000,00010001,010110,0111100,0110,001000101,00010
01011001,00111100,00010001,011001,0111001,0110,001100110,00010
01000101,00110011,00010111,010110,1001001,0111,001101011,00010
01100000,00101110,00010110,010101,1000101,0110,001000010,00010
00111101,00111100,00001111,011001,1000101,0110,001011011,00010
01001010,00111010,00010010,010100,0111000,0111,001101101,00010
01001010,00101011,00010111,011010,0111110,0110,001100100,00010
00111111,00101011,00010001,010011,1000001,0111,001000111,00010
01100011,00100100,00010100,010101,1000001,0111,001001110,00010
01001101,00100100,00010111,011001,0111001,0111,001011000,00010
01010111,00111100,00010111,010100,1000000,0110,000111111,00010
00111100,00100110,00010001,010010,1000000,0110,001001100,00010
01011110,00110110,00010001,010111,0111110,0110,001101011,00010
01011111,00100110,00010110,010100,0111101,0110,001100101,00010
01010100,00101100,00010101,010110,0111110,0110,001101011,00010
01001101,00111010,00010011,010111,0111001,0110,001100110,00010
01000010,00101100,00010100,010011,1000101,0111,001010001,00010
00111111,00100011,00010000,010110,1000001,0110,001010100,00010
01001111,00101101,00010100,011000,0111011,0110,001011010,00010
01001000,00111100,00011001,010011,1000101,0110,001011000,00010
01000011,00110011,00011000,011000,0111101,0110,001000001,00010
01010110,00100100,00011000,011011,1001001,0110,001001001,00010
01001100,00110000,00010010,010011,1000110,0110,001010011,00010
01001011,00110101,00010010,010101,0111011,0111,001101000,00010
01010001,00101101,00010111,010011,1000100,0110,001010100,00010
01001001,00101101,00010101,011001,1001010,0111,001100001,00010
01000111,00100011,00011000,010110,0111100,0110,001000100,00010
01100000,00110110,00010110,011010,0111101,0111,001010011,00010
01100011,00100111,00010010,010011,1000100,0110,001011000,00010
00111110,00110000,00010100,010110,0111100,0111,001100000,00010
01010110,00100101,00010000,010101,0111011,0110,001000100,00010
01011110,00110010,00010011,010111,1001010,0110,001100010,00010
01001100,00100111,00011000,011000,0111000,0111,001000000,00010
01001101,00110100,00010001,011001,1000010,0110,001001100,00010
01001010,00100111,00010111,010111,1000010,0111,001011000,00010
01010001,00110001,00010100,010010,0111101,0110,001101000,00010
00111111,00101010,00010101,010111,1001000,0110,001000011,00010
01100011,00100110,00010101,010111,1001000,0110,001000100,00010
01011010,00110100,00011001,011010,1000101,0111,001100111,00010
01000100,00101000,00010011,011010,1000010,0111,001101011,00010
00111100,00111001,00011000,010011,0111110,0110,001001011,00010
01000111,00110100,00010010,011001,0111000,0110,001001110,00010
00111101,00111011,00010001,010111,0111011,0110,001101001,00010
01011000,00100110,00001111,011001,1000010,0110,000111110,00010
01000001,00111100,00010110,011001,1001001,0111,001101100,00010
01001110,00100101,00010110,011001,0111111,0110,001001011,00010
01001110,00111010,00001111,011001,1000100,0111,000111111,00010
01011100,00111100,00010111,010011,1001000,0110,001000110,00010
01001111,00111011,00010001,010100,1000000,0111,001101101,00010
01011011,00110111,00001111,010010,1001001,0110,001001111,00010
01001100,00110011,00010010,011010,1001000,0110,001010000,00010
01010111,00110000,00011001,010011,0111101,0111,001011110,00010
01000111,00111100,00010110,011010,0111011,0110,001010110,00010
01011010,00111001,00011000,010011,1001001,0110,001010010,00010
01000011,00100011,00010110,010111,0111111,0110,001101101,00010
00111100,00110110,00010011,010011,0111110,0110,001000110,00010
01010011,00111010,00010111,010100,0111100,0110,001000010,00010
01010011,00111001,00010011,011010,1000111,0111,001100011,00010
00101000,01001000,01001101,010001,0010001,0111,001011001,00011
00010111,01001000,01010100,010011,0010001,0111,001010000,00011
00100111,00111010,01010101,010010,0001111,0110,001000101,00011
00010110,01001000,01010101,010011,0010000,0110,001011001,00011
00100100,01000011,01001101,010010,0010100,0111,001001111,00011
00100000,01001001,01010001,010100,0001111,0110,001011101,00011
00111010,01000110,01010100,010101,0010001,0110,001001011,00011
00111011,01000110,01010100,010001,0010011,1000,001010011,00011
00101010,00111110,01001011,010010,0010011,0111,001010010,00011
00011100,01001010,01010001,010010,0010010,1001,001010010,00011
00111010,01000010,01001111,010101,0010011,1001,001011110,00011
00101011,01000010,01001111,010011,0001111,1000,001001011,00011
00111010,00111111,01010001,010100,0001111,0111,001001111,00011
00010111,00111110,01010101,010011,0010100,1000,001010001,00011
00011011,00111110,01001101,010010,0001111,0111,001000110,00011
00011100,01001000,01010100,010011,0010011,0110,001001000,00011
00110010,00111000,01001100,010101,0010100,1000,001001010,00011
00100111,01000111,01010100,010100,0010000,1000,001010011,00011
00011001,01001110,01001100,010001,0010000,0111,001000011,00011
00011111,01000110,01001101,010101,0001110,0110,001011010,00011
00011010,01010000,01010011,010001,0010000,1000,001000111,00011
00011001,01000100,01001101,010100,0001111,1000,001010110,00011
00011111,01001110,01001100,010010,0001111,1001,001011001,00011
00111100,01000100,01010011,010011,0010010,0111,001010110,00011
00111011,00111110,01010011,010011,0010011,1000,001001001,00011
00010110,01000011,01001110,010001,0001110,0110,001001000,00011
00100100,01000001,01010000,010010,0010001,0110,001001011,00011
00111011,00111100,01010100,010011,0010011,1000,001011111,00011
00110110,01001101,01010101,010001,0010001,1000,001010100,00011
00101011,01000100,01010001,010001,0010010,0111,001001111,00011
00011100,01001100,01010010,010101,0001110,0111,001010100,00011
00101010,01001111,01010101,010001,0010000,0110,001001101,00011
00100000,00111100,01010011,010100,0010011,1001,001011100,00011
00010110,01001110,01001100,010010,0010011,1001,001001100,00011
00011111,01001111,01001011,010011,0010000,1000,001011010,00011
00011100,00111010,01010001,010001,0010001,0110,001011101,00011
00111001,00111010,01001101,010011,0010010,1000,001010001,00011
00110001,00110111,01001110,010011,0010000,1000,001010010,00011
00101110,01001100,01001101,010010,0010100,0111,001010100,00011
00110110,00111101,01001101,010011,0001111,0110,001001110,00011
00100110,00111100,01001100,010011,0010010,1001,001001110,00011
00111011,00110111,01001111,010100,0010001,1001,001010010,00011
00100100,01001100,01001011,010010,0010001,1001,001000111,00011
00111001,01000100,01010001,010001,0010001,1000,001001001,00011
00100011,01000010,01010001,010011,0010000,0110,001010101,00011
00100011,01000000,01001110,010010,0001110,0111,001010101,00011
00110100,00111100,01001111,010011,0010010,1000,001001100,00011
00011011,01001100,01010011,010011,0001111,0110,001011010,00011
00111001,00111100,01010100,010011,0010001,0111,001001011,00011
00110100,01000100,01001110,010001,0010001,0111,001010110,00011
00101011,01001111,01001111,010011,0010011,1000,001010000,00011
00101100,01001010,01010101,010100,0010100,0111,001001110,00011
00011000,00110111,01001110,010001,0001111,0111,001001100,00011
00011101,01001101,01001011,010010,0001111,1000,001001001,00011
00010100,00111100,01001110,010010,0001111,0110,001011011,00011
00111000,01000011,01001110,010010,0010001,1000,001001110,00011
00100101,01000010,01010101,010101,0010011,0110,001001110,00011
00110001,01000111,01001100,010100,0010010,0111,001010110,00011
00111011,01000101,01010000,010011,0010010,1000,001000101,00011
00010100,01001111,01001101,010011,0010000,1000,001001100,00011
00011000,00111000,01010101,010010,0010001,0111,001010001,00011
00110011,01001000,01001011,010011,0001111,0111,001010000,00011
00111001,01001001,01010101,010010,0001111,0111,001011100,00011
00010110,01000000,01010010,010011,0010001,0110,001011000,00011
00110100,01001001,01001111,010001,0010011,1000,001011110,00011
00011101,01001011,01001011,010100,0010011,0111,001011000,00011
00101100,00111011,01001110,010101,0010100,1000,001010101,00011
00101001,01000101,01010010,010100,0010001,0111,001000101,00011
00110100,00111000,01010101,010100,0001110,0111,001011001,00011
00100010,01001100,01010000,010101,0010000,1000,001000001,00011
00101010,01001010,01010011,010011,0001110,1000,001000010,00011
00100010,01000111,01001111,010010,0010000,1000,001001011,00011
00011011,01001001,01001111,010011,0010000,0111,001010011,00011
00011110,01000110,01001111,010100,0010100,0111,001000110,00011
00111001,00111001,01001011,010001,0010010,1000,001010111,00011
00011011,01001111,01010010,010001,0010010,0110,001000111,00011
00100000,01000111,01010101,010101,0001110,0110,001011100,00011
00011111,01001100,01010010,010101,0010010,1000,001001111,00011
00100001,01001011,01010100,010011,0010011,0111,001000101,00011
00101111,01010000,01001101,010001,0010000,1000,001001001,00011
00110110,00111110,01010000,010001,0010000,0111,001001111,00011
00101111,01001111,01001110,010001,0001111,0111,001000001,00011
00100011,00111001,01010011,010011,0010001,0111,001010000,00011
00110101,01001001,01001101,010100,0010010,0111,001001010,00011
00101101,00111101,01001110,010011,0010000,0110,001010010,00011
00100101,01001110,01001111,010100,0001111,1000,001011001,00011
00011110,01001011,01010001,010011,0010001,0110,001000100,00011
00100101,00110111,01010010,010011,0010010,1000,001001110,00011
00110101,01000001,01001100,010100,0010000,1001,001001101,00011
00010110,00111100,01010101,010011,0001111,1000,001011111,00011
00111100,00111101,01001110,010101,0010100,0110,001011110,00011
00101010,01000011,01001101,010011,0010000,0111,001001111,00011
00100111,01001100,01001100,010100,0010000,1000,001000101,00011
00100011,00111111,01001100,010010,0010010,1000,001011011,00011
00011110,01000001,01010010,010101,0001111,0111,001001101,00011
00111001,00111000,01001110,010001,0010011,1001,001000100,00011
00110000,01000001,01001110,010001,0001110,1000,001001001,00011
00100100,00111000,01010011,010011,0010100,0111,001000101,00011
00101000,00111010,01001011,010011,0001111,0111,001011010,00011
00110001,01000101,01010010,010010,0001111,0111,001010010,00011
00001101,00111100,00011001,010001,0010101,0110,010000000,00100
00011001,01000110,00010000,010100,0010011,0110,001101010,00100
00011111,00110111,00010110,010111,0010101,0110,001101101,00100
00101000,01000000,00010000,010000,0011000,0110,010001100,00100
00000010,00111101,00010100,010110,0010111,0110,001001101,00100
00011010,01000001,00010110,010010,0010011,0110,010001111,00100
00010001,00111001,00010101,010100,0010100,0110,000111101,00100
00011010,01010000,00010010,010011,0010111,0110,001101001,00100
00010001,00111011,00010001,010010,0010111,0110,010000101,00100
00011011,00111011,00010110,010110,0010111,0110,010000010,00100
00011100,00111010,00011000,010100,0010010,0110,010010000,00100
00011001,00111001,00010011,010001,0010100,0110,001011000,00100
00011100,01010000,00010001,010100,0010011,0110,010010000,00100
00011001,00111100,00010110,010110,0010101,0110,010000110,00100
00001100,01001110,00010111,010000,0010011,0110,001011000,00100
00000110,01001101,00011001,010101,0011000,0110,001000110,00100
00010110,01001111,00010001,010101,0010100,0110,001110101,00100
00011011,01010000,00001111,010011,0010101,0110,001010110,00100
00001010,00110111,00010111,010101,0010100,0110,010001001,00100
00010111,01000001,00010100,010111,0010110,0110,001101100,00100
00010011,01001110,00010000,010101,0010111,0110,001000100,00100
00010011,01000001,00011001,010010,0010010,0110,010010001,00100
00010110,01000110,00010011,010010,0010101,0110,001000101,00100
00100101,01000000,00010110,010001,0010011,0110,001111010,00100
00001011,01000111,00010001,010100,0010101,0110,001010011,00100
00010010,01001111,00010100,010100,0010111,0110,010001100,00100
00010101,00111111,00010001,010000,0010011,0110,001101100,00100
00011000,01010000,00010110,010001,0010011,0110,001100001,00100
00100010,00111100,00010110,010010,0010010,0110,001100101,00100
00010000,01001011,00010101,010011,0011000,0110,001010111,00100
00010001,01001101,00010111,011001,0010101,0110,001000000,00100
00100101,01001000,00010010,010011,0011001,0110,001101001,00100
00101000,01001001,00010100,010110,0010100,0110,000111101,00100
00001001,01001101,00010001,010100,0011000,0110,001101010,00100
00000001,00111110,00010111,001111,0010010,0110,010001011,00100
00100001,00111011,00010110,010111,0010110,0110,001111010,00100
00010111,00111011,00010011,010110,0011001,0110,010000010,00100
00000110,00111110,00010110,010101,0010010,0110,001111000,00100
00011001,00111111,00010100,010000,0010101,0110,001011111,00100
00000111,01001111,00010111,010100,0010100,0110,001100001,00100
00001000,01001000,00010001,010101,0010100,0110,001011000,00100
00011011,01000000,00001111,010100,0011001,0110,010001010,00100
00011100,01000010,00010111,010110,0011000,0110,001111001,00100
00100000,00111001,00010010,010000,0011000,0110,001101011,00100
00011011,00111000,00010110,010100,0010101,0110,001101101,00100
00010001,01001101,00011000,010101,0010011,0110,001101101,00100
00000000,01000001,00001111,010111,0010111,0110,001100000,00100
00001101,01001000,00010101,011000,0010101,0110,000111100,00100
00100010,00111100,00010111,010100,0011001,0110,001100100,00100
00001001,01010000,00010011,010110,0010011,0110,001111101,00100
00001011,01001000,00010100,010100,0011001,0110,001110001,00100
00000011,01000011,00011000,010001,0010100,0110,001100111,00100
00100011,01000101,00010111,010001,0011001,0110,001001011,00100
00000011,01001101,00011001,011001,0010111,0110,000111110,00100
00010111,00111110,00010011,010001,0010100,0110,001100011,00100
00010110,01000111,00010001,010010,0010011,0110,001101100,00100
00011111,01001111,00011001,010111,0010110,0110,000111111,00100
00100010,00111011,00010010,010111,0010110,0110,001011000,00100
00001100,00111111,00010001,010010,0010011,0110,010001010,00100
00011011,00111000,00010100,010011,0010101,0110,001011111,00100
00000111,00111111,00011000,010111,0011000,0110,001101100,00100
00011000,01000011,00010110,010100,0010111,0110,001101001,00100
00001011,01000111,00011000,010101,0010111,0110,010001110,00100
00100101,01001010,00001111,011001,0010010,0110,000111111,00100
00011001,01001100,00011000,001111,0011001,0110,010000111,00100
00100010,01000010,00010001,010011,0010101,0110,001111101,00100
00010100,01000101,00001111,010111,0010111,0110,001101011,00100
00100101,01000001,00010000,010111,0010011,0110,001000000,00100
00010010,01001010,00001111,011001,0010110,0110,010010010,00100
00000100,01000011,00011001,011000,0011000,0110,001111000,00100
00100101,00111000,00011001,010110,0010100,0110,001111111,00100
00000101,00111011,00001111,010011,0010100,0110,010000110,00100
00001011,00111101,00010101,010011,0010111,0110,010000111,00100
00010110,01010000,00010100,010111,0010011,0110,001100100,00100
00001100,00111101,00010011,010011,0011000,0110,001000101,00100
00000101,01001010,00010101,010000,0010101,0110,001000011,00100
00011011,01000101,00010110,010010,0011001,0110,001000101,00100
00011111,01001011,00010010,001111,0010101,0110,001011001,00100
00100100,01000100,00010100,010001,0011000,0110,001010010,00100
00000101,01000001,00010000,010101,0010010,0110,001101101,00100
00100000,01001111,00001111,011000,0010101,0110,001010010,00100
00001011,01001110,00010110,011000,0010111,0110,001110001,00100
00000000,00110111,00010110,010111,0010101,0110,010010000,00100
00001110,00111011,00001111,010101,0010111,0110,010010010,00100
00011101,01000100,00010111,011000,0010011,0110,001110101,00100
00100000,01000100,00010011,011001,0010010,0110,010010110,00100
00010001,01000000,00010001,010101,0011001,0110,001111101,00100
00001101,01000101,00010011,010001,0010100,0110,001110011,00100
00001110,01000011,00010110,011000,0011001,0110,001010101,00100
00001001,01000101,00010100,010011,0011000,0110,010000001,00100
00010100,01001001,00010110,010000,0010110,0110,010000010,00100
00101000,01001110,00010100,010011,0010101,0110,001010000,00100
00011011,01001000,00010111,010100,0010110,0110,001000000,00100
00001110,01000011,00001111,010100,0011001,0110,010001011,00100
00000111,00111000,00010010,010010,0011000,0110,001001100,00100
00011011,01000001,00010010,010100,0010111,0110,001001001,00100
00011110,00111111,00010000,011000,0010110,0110,001100101,00100
00100101,01000110,00011001,010100,0011001,0110,001010100,00100
00011011,00111111,00010011,010101,0010101,0110,010000101,00100
00010110,00111100,00011000,010011,0010100,0110,001101000,00100
00000011,01001000,00011000,100101,0111010,0110,001111011,00101
00101000,00111011,00010111,100101,0111111,0101,010100100,00101
00100001,01001001,00010111,011101,0111011,0110,001100111,00101
00011011,00111001,00011000,011011,0101011,0110,010001110,00101
00001010,01001111,00010010,010101,0110111,0110,010111001,00101
00011110,01001011,00011001,011110,0101010,0110,010010101,00101
00101000,01000110,00010100,100000,0101101,0110,010010011,00101
00100110,00110111,00010011,100001,0100110,0110,011000111,00101
00100011,00111010,00010100,011101,0111111,0110,001011010,00101
00100110,00111101,00010101,011110,1000011,0101,010000000,00101
00100001,00111010,00011000,100011,1000101,0101,001101101,00101
00010000,00111000,00010001,100010,0101000,0111,010110001,00101
00011111,01001000,00010001,011101,0110001,0110,001100000,00101
00010000,01010000,00010100,011111,0111001,0111,001111010,00101
00011011,01001000,00010001,011101,0111001,0110,001111001,00101
00101000,00111110,00010011,011011,0100010,0101,001100001,00101
00010010,00111010,00010000,010101,0100111,0101,010110100,00101
00000011,01000100,00010000,010010,0100011,0101,001101011,00101
00011010,01000011,00011000,100101,0100110,0110,010100001,00101
00010000,01000110,00010100,011001,0101000,0110,001111010,00101
00011000,00111111,00010011,010011,0111000,0101,011000011,00101
00001001,01001100,00011001,011101,0110010,0110,010110011,00101
00010000,00110111,00010011,010100,0101111,0110,011000000,00101
00011100,01001011,00010101,011001,0110011,0110,001110010,00101
00010000,01000111,00011000,010010,0100110,0101,010001100,00101
00011000,01000110,00010101,010011,0101101,0110,010000101,00101
00100110,01001000,00010101,011100,0110001,0110,010111011,00101
00001001,01000010,00010101,011110,0100010,0110,010011101,00101
00100010,00111000,00010001,100001,0100011,0101,010001100,00101
00000001,01001100,00010011,011000,0101111,0111,010110001,00101
00000110,01000101,00010011,011011,0101010,0101,001011110,00101
00011010,01001001,00010101,011111,0111010,0101,010100010,00101
00011011,00111101,00010010,100001,1000011,0101,001101101,00101
00011011,01000111,00010111,010111,0101110,0111,010010111,00101
00100100,00111101,00010101,100011,0100111,0110,010101001,00101
00010001,01001001,00010010,010100,0100011,0110,011000101,00101
00011010,01001000,00010110,011101,0100110,0101,001011100,00101
00010001,01000000,00010000,011111,0100000,0111,010110101,00101
00001110,01001010,00010011,010010,0100101,0111,001011101,00101
00100111,00111100,00001111,100011,0011111,0101,001110101,00101
00000110,01000010,00001111,100011,0011110,0110,010011111,00101
00001000,00111011,00010010,011110,0100100,0110,010111100,00101
00000010,01000011,00010010,100011,0110000,0110,010000001,00101
00000001,01001100,00010001,011100,0110100,0110,010010011,00101
00010000,01001001,00010011,010010,0100011,0101,010100011,00101
00010111,01001011,00011001,011111,0101111,0111,001011011,00101
00100000,01000110,00010100,010101,0101110,0110,011000100,00101
00011100,00111011,00010110,011111,0110101,0111,010101011,00101
00000101,00111110,00010111,011100,1000010,0101,010010001,00101
00100100,01000011,00011001,100100,0100101,0110,010001000,00101
00000001,01000010,00010111,010100,0111001,0101,010101101,00101
00011000,01001001,00010100,010100,0100000,0101,010110000,00101
00010001,01000011,00010010,011111,0111000,0110,010000001,00101
00000101,00110111,00010010,100010,0101110,0111,001111111,00101
00000101,00111000,00011000,011001,0101101,0101,010111100,00101
00100101,01001101,00010001,100100,0100000,0110,010111111,00101
00001101,01001001,00010100,011111,0100011,0101,010100011,00101
00000110,00111111,00010111,011010,0110010,0110,010100000,00101
00010000,01001101,00010110,011111,0100100,0111,001100101,00101
00011001,01000000,00010100,100001,0100000,0101,001101001,00101
00100010,01001011,00011000,011000,0110011,0101,011000000,00101
00010100,01001101,00010111,100011,0100111,0101,010010100,00101
00100011,01010000,00011001,011100,0101101,0101,011000101,00101
00001110,01001011,00011000,011001,0111001,0110,001110110,00101
00100100,01010000,00010101,100010,0110000,0111,001100100,00101
00000111,01001101,00010010,010101,0111101,0111,010111111,00101
00011101,01001110,00011001,010100,0111011,0110,011000100,00101
00011110,00111100,00010101,011101,0111110,0101,010110110,00101
00010100,01001010,00010000,100100,0101100,0101,010100000,00101
00010011,00111001,00010111,011000,0101111,0111,010001101,00101
00000011,00111100,00010011,011010,0101001,0101,001100101,00101
00000101,01001101,00010011,011111,1000011,0110,010110000,00101
00000101,01000100,00010100,010011,0111101,0101,010001100,00101
00100101,01001001,00010101,011110,0111111,0110,010111110,00101
00001001,00111011,00011000,010100,0100111,0101,010001001,00101
00010100,01001000,00001111,100100,0111000,0111,010000111,00101
00011111,00111000,00010111,011111,0100011,0110,010101111,00101
00000000,01000110,00010101,100100,0111000,0101,001100110,00101
00010101,01001010,00001111,011101,1000011,0110,010011001,00101
